фирмы,услуги,размер,отрасль,наличие_целей_по_улучшению_окр_среды,наличие_менеджера_по_окр_среде,отслеживание_выбросов_CO2,наличие_целевых_уровней_выбросов_CO2,прим_более_благ_ист_энерго,минимал_отходов,меры_по_огр_загряз_воздуха,меры_по_огр_загрязн_возд,наличие_выбросов_CO2
561,Другие Услуги,Средний,Информация и ее распространение,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
562,Другие Услуги,Средний,Информация и ее распространение,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
566,Другие Услуги,Средний,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
567,Другое Производство,Крупный,Производство,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да
569,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
573,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
577,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
584,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
589,Другое Производство,Крупный,Производство,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
592,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
594,Машины и оборудование,Крупный,Производство,Да,Да,Да,Да,Не знаю,Да,Да,Не знаю,Да
599,Машины и оборудование,Крупный,Производство,Да,Да,,Нет,Нет,Да,Да,Нет,Нет
604,Другое Производство,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
612,Другое Производство,Средний,Производство,Да,Нет,Да,Нет,Нет,Да,Да,Не знаю,Да
619,Другие Услуги,Малый,Строительство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
629,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
634,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
646,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
654,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
657,Розничная торговля,Крупный,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
679,Другие Услуги,Средний,Информация и ее распространение,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
682,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
690,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
707,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
708,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
734,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
744,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
777,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Да,Да,Нет,Нет,Нет
781,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Не знаю,Нет
784,Другое Производство,Крупный,Производство,Да,Да,,Нет,Нет,Да,Да,Нет,Нет
786,Готовые Металлические Изделия,Средний,Производство,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да
789,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
803,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
826,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
848,Другие Услуги,Малый,Оптовая торговля,Нет,Да,Нет,Нет,Нет,Да,Нет,Да,Да
857,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
867,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
871,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
873,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
874,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
880,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
901,Неметаллические Минеральные продукты,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
910,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
916,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Да,Не знаю,Нет
946,Другие Услуги,Средний,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
983,Другие Услуги,Крупный,Оптовая торговля,Да,Да,,Нет,Нет,Да,Да,Да,Нет
986,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
1051,Другие Услуги,Средний,Строительство,Нет,Нет,,Нет,Да,Нет,Нет,Да,Нет
1102,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
1123,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1218,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1247,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
1251,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
1261,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1274,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1277,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1294,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
1328,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1335,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Нет,Нет
1342,Розничная торговля,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1345,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1357,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1488,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1489,Еда,Средний,Производство,Нет,Нет,,Нет,Не знаю,Нет,Не знаю,Нет,Нет
1490,Еда,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
1493,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
1495,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
1496,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1497,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
1498,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
1501,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1506,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1508,Неметаллические Минеральные продукты,Крупный,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
1512,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
1517,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
1526,Другое Производство,Крупный,Производство,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да
1528,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1529,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1531,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1532,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1533,Другие Услуги,Крупный,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1535,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1538,Другие Услуги,Средний,Строительство,Не знаю,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Не знаю
1539,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1540,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1541,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1542,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Да,Да,Нет
1544,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1551,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
1552,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
1553,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1555,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1558,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1560,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Нет,Нет
1561,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1563,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Не знаю,Не знаю,Не знаю,Нет
1565,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Не применимо,Нет
1570,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1575,Другие Услуги,Крупный,Оптовая торговля,Не знаю,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1579,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Не знаю,Нет,Не знаю,Не знаю,Нет
1581,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1586,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1591,Другие Услуги,Малый,Транспорт,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
1597,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
1602,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Да,Нет,Нет
1751,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1764,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1765,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1766,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1769,Машины и оборудование,Крупный,Производство,Нет,Нет,,Нет,Нет,Да,Да,Нет,Нет
1775,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1792,Другие Услуги,Крупный,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1801,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1844,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1855,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1872,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1876,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
1885,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1894,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1919,Розничная торговля,Малый,Розничная торговля,Да,Нет,,Нет,Нет,Да,Нет,Да,Нет
1924,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1941,Розничная торговля,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1946,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1957,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1958,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1963,Другие Услуги,Средний,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1973,Другие Услуги,Крупный,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Не знаю,Нет
1985,Другие Услуги,Средний,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
1986,Розничная торговля,Средний,Розничная торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
1987,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
2004,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Нет
2020,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2038,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,Нет,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Да
2041,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2057,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
2060,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2072,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2073,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2085,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Да,Нет,Нет
2090,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2091,Другое Производство,Средний,Производство,Да,Нет,,Нет,Не знаю,Да,Не знаю,Не знаю,Нет
2092,Неметаллические Минеральные продукты,Средний,Производство,Да,Да,,Нет,Нет,Да,Нет,Нет,Нет
2100,Машины и оборудование,Средний,Производство,Да,Да,,Нет,Нет,Да,Да,Нет,Нет
2103,Другое Производство,Средний,Производство,Не знаю,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2108,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2115,Другие Услуги,Средний,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2116,Другие Услуги,Крупный,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2122,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2142,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2149,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Не применимо,Нет
2151,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2152,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2162,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2163,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Не применимо,Нет
2165,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Не применимо,Не применимо,Нет,Нет
2170,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Не применимо,Нет
2171,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2172,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2184,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Не применимо,Нет
2189,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2196,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2200,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2211,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
2213,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2219,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2229,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2233,Другие Услуги,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2238,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2254,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2280,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2282,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Не применимо,Нет,Нет,Нет
2283,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
